       -30.000        -0.009        -0.120
       -27.500        -0.005        -0.138
       -25.000         0.003        -0.154
       -22.500         0.014        -0.154
       -20.000         0.021        -0.107
       -17.500         0.011        -0.077
       -15.000         0.003        -0.084
       -12.500        -0.001        -0.098
       -10.000        -0.003        -0.112
        -7.500        -0.003        -0.123
        -5.000        -0.003        -0.132
        -2.500        -0.002        -0.136
         0.000         0.000        -0.137
         2.500         0.001        -0.136
         5.000         0.002        -0.131
         7.500         0.003        -0.122
        10.000         0.003        -0.111
        12.500         0.001        -0.096
        15.000        -0.003        -0.080
        17.500        -0.011        -0.072
        20.000        -0.021        -0.101
        22.500        -0.014        -0.148
        25.000        -0.002        -0.150
        27.500         0.006        -0.135
        30.000         0.010        -0.117
